*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Dec 11 2024 17:59:53
*************************************************
parsing config file: /home/functionmain/桌面/Pythia/config/pythia.ini

trace_0 /home/functionmain/桌面/Pythia/traces/429.mcf-192B.champsimtrace.xz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 100000000
simulation_instructions 500000000
champsim_seed 222
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

scooby_alpha 0.0065088
scooby_gamma 0.556301
scooby_epsilon 0.00182284
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,3,4,5,10,11,12,22,23,30,32,-1,-3,-6,0,
scooby_max_actions 15
scooby_pt_size 256
scooby_st_size 64
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -8
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 20
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -12
scooby_state_type 1
scooby_state_hash_type 11
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 0
scooby_reward_tracker_hit -2
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.5,1,2,
scooby_dyn_degrees 1,2,4,4,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,8,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 20
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -14
scooby_reward_hbw_none -2
scooby_reward_hbw_out_of_bounds -12
scooby_reward_hbw_tracker_hit -2
scooby_last_pref_offset_conf_thresholds_hbw 1,3,8,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 3,3,
le_featurewise_num_tiles 128,128,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000002 cycles:    1163897 heartbeat IPC: 0.85918 cumulative IPC: 0.85918 (Simulation time: 0 hr 0 min 3 sec) 
Heartbeat CPU  0 instructions:    2000002 cycles:    2334963 heartbeat IPC: 0.85392 cumulative IPC: 0.85655 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    3000000 cycles:    3488762 heartbeat IPC: 0.86670 cumulative IPC: 0.85990 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    4619883 heartbeat IPC: 0.88408 cumulative IPC: 0.86582 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    5000001 cycles:    5768455 heartbeat IPC: 0.87065 cumulative IPC: 0.86678 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:    6000002 cycles:    6912851 heartbeat IPC: 0.87382 cumulative IPC: 0.86795 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    8075591 heartbeat IPC: 0.86004 cumulative IPC: 0.86681 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    9222485 heartbeat IPC: 0.87192 cumulative IPC: 0.86745 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:    9000002 cycles:   10378820 heartbeat IPC: 0.86480 cumulative IPC: 0.86715 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:   11532474 heartbeat IPC: 0.86681 cumulative IPC: 0.86712 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   11000003 cycles:   12660321 heartbeat IPC: 0.88665 cumulative IPC: 0.86886 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:   13763616 heartbeat IPC: 0.90637 cumulative IPC: 0.87186 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:   13000001 cycles:   14896217 heartbeat IPC: 0.88292 cumulative IPC: 0.87270 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   14000000 cycles:   16037720 heartbeat IPC: 0.87604 cumulative IPC: 0.87294 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   15000000 cycles:   17192177 heartbeat IPC: 0.86621 cumulative IPC: 0.87249 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:   18349437 heartbeat IPC: 0.86411 cumulative IPC: 0.87196 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  0 instructions:   17000001 cycles:   19513126 heartbeat IPC: 0.85934 cumulative IPC: 0.87121 (Simulation time: 0 hr 0 min 56 sec) 
Heartbeat CPU  0 instructions:   18000000 cycles:   20673079 heartbeat IPC: 0.86210 cumulative IPC: 0.87070 (Simulation time: 0 hr 1 min 0 sec) 
Heartbeat CPU  0 instructions:   19000003 cycles:   21817974 heartbeat IPC: 0.87345 cumulative IPC: 0.87084 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   22956854 heartbeat IPC: 0.87805 cumulative IPC: 0.87120 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  0 instructions:   21000000 cycles:   24102762 heartbeat IPC: 0.87267 cumulative IPC: 0.87127 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:   25253818 heartbeat IPC: 0.86877 cumulative IPC: 0.87116 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   26390201 heartbeat IPC: 0.87998 cumulative IPC: 0.87154 (Simulation time: 0 hr 1 min 16 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   27526314 heartbeat IPC: 0.88019 cumulative IPC: 0.87189 (Simulation time: 0 hr 1 min 20 sec) 
Heartbeat CPU  0 instructions:   25000001 cycles:   28661350 heartbeat IPC: 0.88103 cumulative IPC: 0.87225 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:   26000000 cycles:   29803001 heartbeat IPC: 0.87592 cumulative IPC: 0.87240 (Simulation time: 0 hr 1 min 26 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:   30944918 heartbeat IPC: 0.87572 cumulative IPC: 0.87252 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   32065376 heartbeat IPC: 0.89249 cumulative IPC: 0.87322 (Simulation time: 0 hr 1 min 33 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   33228380 heartbeat IPC: 0.85984 cumulative IPC: 0.87275 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  0 instructions:   30000002 cycles:   34390197 heartbeat IPC: 0.86072 cumulative IPC: 0.87234 (Simulation time: 0 hr 1 min 40 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   35558945 heartbeat IPC: 0.85562 cumulative IPC: 0.87179 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   36714081 heartbeat IPC: 0.86570 cumulative IPC: 0.87160 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   37866210 heartbeat IPC: 0.86796 cumulative IPC: 0.87149 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  0 instructions:   34000002 cycles:   39014448 heartbeat IPC: 0.87090 cumulative IPC: 0.87147 (Simulation time: 0 hr 1 min 53 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   40174681 heartbeat IPC: 0.86189 cumulative IPC: 0.87120 (Simulation time: 0 hr 1 min 56 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   41346039 heartbeat IPC: 0.85371 cumulative IPC: 0.87070 (Simulation time: 0 hr 1 min 59 sec) 
Heartbeat CPU  0 instructions:   37000001 cycles:   42510819 heartbeat IPC: 0.85853 cumulative IPC: 0.87037 (Simulation time: 0 hr 2 min 3 sec) 
Heartbeat CPU  0 instructions:   38000000 cycles:   43662606 heartbeat IPC: 0.86822 cumulative IPC: 0.87031 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  0 instructions:   39000000 cycles:   44813544 heartbeat IPC: 0.86886 cumulative IPC: 0.87027 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   45959756 heartbeat IPC: 0.87244 cumulative IPC: 0.87033 (Simulation time: 0 hr 2 min 13 sec) 
Heartbeat CPU  0 instructions:   41000001 cycles:   47150340 heartbeat IPC: 0.83992 cumulative IPC: 0.86956 (Simulation time: 0 hr 2 min 16 sec) 
Heartbeat CPU  0 instructions:   42000000 cycles:   48325541 heartbeat IPC: 0.85092 cumulative IPC: 0.86911 (Simulation time: 0 hr 2 min 19 sec) 
