*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Dec 11 2024 17:59:53
*************************************************
parsing config file: /home/functionmain/桌面/Pythia/config/pythia.ini

trace_0 /home/functionmain/桌面/Pythia/traces/437.leslie3d-271B.champsimtrace.xz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 100000000
simulation_instructions 500000000
champsim_seed 220
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 300
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 300
dram_dbus_return_time 106

scooby_alpha 0.0065088
scooby_gamma 0.556301
scooby_epsilon 0.00182284
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,3,4,5,10,11,12,22,23,30,32,-1,-3,-6,0,
scooby_max_actions 15
scooby_pt_size 256
scooby_st_size 64
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -8
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 20
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -12
scooby_state_type 1
scooby_state_hash_type 11
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 0
scooby_reward_tracker_hit -2
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.5,1,2,
scooby_dyn_degrees 1,2,4,4,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,8,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 20
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -14
scooby_reward_hbw_none -2
scooby_reward_hbw_out_of_bounds -12
scooby_reward_hbw_tracker_hit -2
scooby_last_pref_offset_conf_thresholds_hbw 1,3,8,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 3,3,
le_featurewise_num_tiles 128,128,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000002 cycles:     515374 heartbeat IPC: 1.94034 cumulative IPC: 1.94034 (Simulation time: 0 hr 0 min 2 sec) 
Heartbeat CPU  0 instructions:    2000001 cycles:    1029993 heartbeat IPC: 1.94318 cumulative IPC: 1.94176 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    3000003 cycles:    1544908 heartbeat IPC: 1.94207 cumulative IPC: 1.94187 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2059657 heartbeat IPC: 1.94269 cumulative IPC: 1.94207 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    5000001 cycles:    2574496 heartbeat IPC: 1.94236 cumulative IPC: 1.94213 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:    6000001 cycles:    3089271 heartbeat IPC: 1.94260 cumulative IPC: 1.94221 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    7000003 cycles:    3604482 heartbeat IPC: 1.94096 cumulative IPC: 1.94203 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    4119482 heartbeat IPC: 1.94174 cumulative IPC: 1.94199 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    4634204 heartbeat IPC: 1.94280 cumulative IPC: 1.94208 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:   10000003 cycles:    5149154 heartbeat IPC: 1.94194 cumulative IPC: 1.94207 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:    5664152 heartbeat IPC: 1.94175 cumulative IPC: 1.94204 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    6178820 heartbeat IPC: 1.94300 cumulative IPC: 1.94212 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  0 instructions:   13000001 cycles:    6693798 heartbeat IPC: 1.94183 cumulative IPC: 1.94210 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:   14000002 cycles:    7208976 heartbeat IPC: 1.94108 cumulative IPC: 1.94202 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:   15000000 cycles:    7723694 heartbeat IPC: 1.94281 cumulative IPC: 1.94208 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    8238679 heartbeat IPC: 1.94180 cumulative IPC: 1.94206 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:    8753805 heartbeat IPC: 1.94128 cumulative IPC: 1.94201 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   18000002 cycles:    9268356 heartbeat IPC: 1.94344 cumulative IPC: 1.94209 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:   19000003 cycles:    9783259 heartbeat IPC: 1.94212 cumulative IPC: 1.94209 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   10298253 heartbeat IPC: 1.94176 cumulative IPC: 1.94208 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:   10813097 heartbeat IPC: 1.94234 cumulative IPC: 1.94209 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:   22000000 cycles:   11328028 heartbeat IPC: 1.94201 cumulative IPC: 1.94209 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   23000003 cycles:   11843146 heartbeat IPC: 1.94131 cumulative IPC: 1.94205 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   12357905 heartbeat IPC: 1.94265 cumulative IPC: 1.94208 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:   12872693 heartbeat IPC: 1.94255 cumulative IPC: 1.94210 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:   26000003 cycles:   13387648 heartbeat IPC: 1.94192 cumulative IPC: 1.94209 (Simulation time: 0 hr 0 min 54 sec) 
Heartbeat CPU  0 instructions:   27000002 cycles:   13902486 heartbeat IPC: 1.94236 cumulative IPC: 1.94210 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   14417215 heartbeat IPC: 1.94277 cumulative IPC: 1.94212 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   14932161 heartbeat IPC: 1.94195 cumulative IPC: 1.94212 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  0 instructions:   30000002 cycles:   15447029 heartbeat IPC: 1.94225 cumulative IPC: 1.94212 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   31000001 cycles:   15961686 heartbeat IPC: 1.94304 cumulative IPC: 1.94215 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   16476905 heartbeat IPC: 1.94092 cumulative IPC: 1.94211 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   16991867 heartbeat IPC: 1.94189 cumulative IPC: 1.94211 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   34000001 cycles:   17506588 heartbeat IPC: 1.94280 cumulative IPC: 1.94213 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   18021582 heartbeat IPC: 1.94177 cumulative IPC: 1.94212 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   18536548 heartbeat IPC: 1.94188 cumulative IPC: 1.94211 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  0 instructions:   37000001 cycles:   19051332 heartbeat IPC: 1.94256 cumulative IPC: 1.94212 (Simulation time: 0 hr 1 min 17 sec) 
Heartbeat CPU  0 instructions:   38000000 cycles:   19566309 heartbeat IPC: 1.94183 cumulative IPC: 1.94211 (Simulation time: 0 hr 1 min 19 sec) 
Heartbeat CPU  0 instructions:   39000002 cycles:   20081398 heartbeat IPC: 1.94142 cumulative IPC: 1.94210 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   20596122 heartbeat IPC: 1.94278 cumulative IPC: 1.94211 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:   41000000 cycles:   21110964 heartbeat IPC: 1.94234 cumulative IPC: 1.94212 (Simulation time: 0 hr 1 min 26 sec) 
Heartbeat CPU  0 instructions:   42000000 cycles:   21625953 heartbeat IPC: 1.94179 cumulative IPC: 1.94211 (Simulation time: 0 hr 1 min 28 sec) 
